,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,country,metric
735,1.639919085,1.632420953,1.622754241,1.59094525,1.867418398,1.771902467,1.957331372,2.056956312,2.02960368,2.186767303,4.673956898,4.366148642,4.69861048,4.623800686,4.88068233,5.461342435,6.090052799,6.040879261,6.193642234,6.184976544,6.521563401,6.716328976,Grenada,emissions_per_capita
736,0.461250714,0.460442043,0.460691837,0.461030029,0.461161517,0.461677162,0.462612417,0.464370372,0.439778913,0.443286109,0.447774709,0.453031931,0.45947852,0.465748452,0.473067123,0.480329365,0.488423057,0.497371241,0.506678752,0.513681219,0.524468425,0.52698438,Guam,emissions_per_capita
737,1.627699328,1.794141034,1.729396817,1.873220678,1.8283817,1.88618988,1.875272212,1.774855613,7.862097005,2.026305449,5.98919688,1.817869493,2.560628862,4.391458089,1.892235118,3.166011239,2.001565377,2.470322763,2.329243429,2.574461047,2.05858062,2.056593654,Guatemala,emissions_per_capita
738,10.80042863,8.302270889,8.890968295,7.876600503,7.473917416,7.953327806,7.59984807,7.461529838,13.69057692,10.39163773,9.587289589,8.965711661,11.21684088,8.087790517,8.058937929,8.472687468,10.25392267,8.975798425,12.96856739,14.95106017,9.105552402,8.908736756,Guinea,emissions_per_capita
739,1.542131569,1.384252507,1.44200042,1.399197313,1.383960329,1.440515397,1.402692862,1.385589857,5.166801648,6.520151243,5.16280861,5.555682598,4.31855371,7.774153395,4.97525988,3.816037433,6.997805303,4.480004347,3.720049216,3.160481233,4.61166091,4.524132732,Guinea-Bissau,emissions_per_capita
740,23.23459548,23.00695719,24.20724143,25.73290703,21.04900557,22.16478385,22.49406198,22.37402726,17.4464246,6.187059927,5.935223614,6.561345088,6.844864602,7.79891332,6.689766789,6.622716113,6.250085316,6.624299325,6.834464561,34.31731936,7.881064098,7.994065873,Guyana,emissions_per_capita
741,0.754533544,0.764294414,0.78328277,0.747529962,0.675163948,0.76105283,0.787175907,0.817597627,0.817335542,0.832971578,0.839738855,0.862635225,0.862083226,0.846526602,0.863159843,0.870083227,0.868240271,0.893297606,0.871950525,0.857930385,0.85454951,0.857123713,Haiti,emissions_per_capita
742,2.798511756,3.062523978,2.777581789,2.890776305,2.865309658,3.008826453,3.002310455,2.752546472,3.815474779,2.289227797,3.512628542,1.967715337,2.287826314,3.439694527,2.222043898,3.37300837,2.381416232,2.688427328,2.725523626,2.692305557,2.620474837,2.635224411,Honduras,emissions_per_capita
743,6.53058268,6.991194663,7.707631618,7.998744145,6.751762584,6.601722584,6.179051729,5.742903734,7.033514311,7.412099569,6.795630563,6.923897487,6.696289409,7.115461758,6.776644166,6.812262887,6.908626898,7.092583419,7.465834531,7.463103591,7.837106428,8.052829326,Hong Kong,emissions_per_capita
744,9.403542784,8.697820194,7.697190882,7.652185856,7.594063338,7.495563786,7.827723596,7.653729085,7.586643446,7.636412494,7.392250824,7.457041008,7.345690089,7.600457503,7.51309523,7.48917122,7.460815681,7.193002204,7.130654507,6.566340948,6.625062192,6.45675559,Hungary,emissions_per_capita
745,85.39559751,84.22362246,79.70652348,79.2248706,78.88132591,78.0604663,78.76665241,77.78412263,13.08248403,13.18743317,14.65953842,13.44331855,13.78459149,13.61511635,13.77482522,13.41479979,13.92752566,14.27982225,15.88876326,16.15166362,16.95059673,17.3354694,Iceland,emissions_per_capita
746,1.59357798,1.624359878,1.639805808,1.646044358,1.677298066,1.718749099,1.744974641,1.765390797,1.7404171,1.889935435,1.789485402,1.749810164,1.758680403,1.783204078,1.855734193,1.850399316,1.921334291,2.019191976,2.037235966,2.136944485,2.25141482,2.267710028,India,emissions_per_capita
747,6.421592947,11.98641625,11.17100599,7.316425925,11.11804305,6.679453007,6.572715444,24.84962104,5.789389733,3.205878658,2.94253281,3.963405847,7.914856679,4.033657064,4.748601109,5.175771263,10.38668927,3.327407524,3.384514492,4.815318325,3.082572691,3.118984562,Indonesia,emissions_per_capita
748,5.051040538,5.410350998,5.655897541,5.577759795,6.115052325,6.140522948,6.294399177,6.4543998,6.453253089,6.570517266,6.804692971,6.89664743,7.140357938,7.533815818,7.967444368,8.223520554,8.740648767,9.07625511,7.05900837,7.125993858,7.135438125,7.249849442,Iran,emissions_per_capita
749,5.713688081,3.910843808,4.3230805,5.077096759,5.439821247,5.306478577,4.707434925,4.798187594,4.775771182,4.84428886,5.276936753,5.476103882,5.159045258,4.205582771,4.765237706,4.612222419,4.672315309,4.576435664,4.727551044,4.618646676,4.759070584,4.75267385,Iraq,emissions_per_capita
750,18.66353934,18.66887827,18.52360788,18.54960866,18.88098689,18.9462556,19.28570616,19.48583939,17.61184406,17.74630932,17.9080615,18.1452635,17.572639,17.23312233,16.89572854,16.84667339,16.73144398,15.9204263,15.62134586,14.466956,14.38355626,13.38668561,Ireland,emissions_per_capita
751,,,,,,,,,,,,,,,,,,,,,,,Isle of Man,emissions_per_capita
752,8.499856202,8.14588141,8.384254499,8.883663828,9.272781219,9.604183841,9.929811384,10.04815848,9.974067208,9.958969078,10.43399425,10.23125678,10.57652982,10.69312202,10.36514534,10.2961042,10.43304112,10.74199141,10.29424057,10.02271498,10.37205987,10.52099115,Israel,emissions_per_capita
753,8.969882936,8.916443982,8.875636421,8.732208704,8.680194763,9.12089222,8.922552739,8.936026258,9.120993146,9.162082747,9.61239194,9.536968043,9.652850583,9.857260691,9.756291284,9.731239819,9.688448446,9.366854432,8.997334953,8.134279619,8.257109663,8.127711618,Italy,emissions_per_capita
